OTU_ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_1	1	1	0	2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	5	5	1	1	3	0	0	0	0	0	1	1	1	1	0	5	1	2	1	4	4	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	3	4	5	0	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	6	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	57	52	45	41	53	40	53	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_4	4	3	3	4	6	3	5	7	0	0	0	1	0	0	0	0	19	11	17	14	7	10	15	9	3	3	1	6	2	3	2	1	4	3	1	7	1	4	2	8	16	18	9	10	10	13	10	19	1	3	6	4	5	5	4	2	6	3	8	12	4	8	9	5	8	2	14	11	15	10	12	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	28	19	18	7	40	11	26
OTU_6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	2	5	3	4	4	6	9	4	0	0	0	0	0	0	0	2	7	6	8	7	4	6	4	7	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	18	8	16	20	11	12	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	0	0	0	0	1	0	0	1	4	7	4	6	6	3	1	2	3	2	0	0	0	1	0	0	1	2	5	4	5	2	4	4	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	2	1	1	7	2	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	2015	2616	2751	2711	2265	2607	2236	2741	203	245	250	311	327	243	239	241	1031	1052	950	804	948	948	910	850	9219	8939	11653	12178	11740	12732	10589	11294	1466	2456	697	2134	1816	2555	2600	2729	4219	3717	4409	3997	3663	3706	2819	4459	1444	1932	1452	1591	1467	1990	1814	1381	1047	1208	1636	1411	1182	1424	1077	1424	8689	5671	7384	8785	11377	11222	9709	10712	12	76	16	33	9	15	53	154	109	95	125	98	134	94	153	19	41	39	25	23	29	29	50
OTU_9	0	0	0	0	0	0	0	0	8	8	8	22	30	8	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	3	2	3	3	1	1	5	2	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	4	3	4	6	0	0	0	5	5	1	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	5	8	7	9	3	13	0	0	0	0	0	0	0	0
