"OTU_ID"	"BRK01"	"BRK02"	"BRK03"	"BRK04"	"BRK05"	"BRK06"	"BRK07"	"BRK08"	"BRK09"	"BRK10"	"BRK100"	"BRK101"	"BRK102"	"BRK103"	"BRK104"	"BRK105"	"BRK106"	"BRK107"	"BRK108"	"BRK109"	"BRK11"	"BRK110"	"BRK111"	"BRK112"	"BRK113"	"BRK114"	"BRK115"	"BRK117"	"BRK118"	"BRK119"	"BRK12"	"BRK120"	"BRK121"	"BRK122"	"BRK123"	"BRK124"	"BRK125"	"BRK126"	"BRK127"	"BRK128"	"BRK129"	"BRK13"	"BRK130"	"BRK131"	"BRK132"	"BRK133"	"BRK134"	"BRK135"	"BRK14"	"BRK15"	"BRK16"	"BRK17"	"BRK18"	"BRK19"	"BRK20"	"BRK21"	"BRK22"	"BRK23"	"BRK24"	"BRK25"	"BRK26"	"BRK27"	"BRK28"	"BRK29"	"BRK30"	"BRK31"	"BRK32"	"BRK33"	"BRK34"	"BRK35"	"BRK36"	"BRK37"	"BRK38"	"BRK39"	"BRK40"	"BRK41"	"BRK42"	"BRK43"	"BRK44"	"BRK45"	"BRK46"	"BRK47"	"BRK48"	"BRK49"	"BRK50"	"BRK51"	"BRK52"	"BRK53"	"BRK54"	"BRK55"	"BRK56"	"BRK57"	"BRK58"	"BRK59"	"BRK60"	"BRK61"	"BRK62"	"BRK63"	"BRK64"	"BRK65"	"BRK66"	"BRK67"	"BRK68"	"BRK69"	"BRK70"	"BRK71"	"BRK72"	"BRK73"	"BRK74"	"BRK75"	"BRK76"	"BRK77"	"BRK78"	"BRK80"	"BRK81"	"BRK82"	"BRK83"	"BRK84"	"BRK97"	"BRK98"	"BRK99"
"OTU_491"	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0
"OTU_3402"	0	0	0	0	0	0	0	0	0	0	2	10	20	5	0	1	12	3	1	13	0	34	13	5	1	7	0	0	0	0	0	0	5	8	1	5	0	0	0	0	1	0	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	2
"OTU_368"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	1	48	1	1	3	0	0	1	0	0	0	2	29	0	0	0	0	0	1	0	1	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
"OTU_1484"	0	0	0	0	0	0	0	0	0	0	18	8	1	0	6	1	7	3	1	0	0	27	28	4	4	2	0	12	0	37	0	1	4	2	1	1	0	0	1	11	4	0	1	13	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	20	93
"OTU_2487"	2	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	16	35	5	0	0	0	0	12	3	0	0	0	0	1	0	0	0
"OTU_1608"	0	0	0	0	0	0	0	0	0	0	10	1	7	8	1	0	18	5	0	0	0	0	2	0	1	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
"OTU_1462"	1	0	12	30	1	0	0	21	3	0	0	0	1	0	0	1	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	28	20	4	0	2	2	0	0	7	16	1	0	1	12	4	8	5	12	0	0	5	20	1	4	18	5	0	0	2	21	4	5	3	10	7	0	9	7	3	0	37	9	1	0	8	11	4	0	21	9	18	0	220	2	21	0	30	2	0	8	11	0	0	0	15	0	0	0
"OTU_1747"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU_344"	0	0	0	0	0	0	0	0	0	0	3	7	1	1	7	1	1	1	1	0	0	1	9	1	1	6	0	1	1	4	0	2	2	0	1	0	1	1	0	3	2	0	3	2	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	4
"OTU_3343"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	17	0	3	11	15	37	13	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
