#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK103	BRK104	BRK105	BRK106	BRK107	BRK108	BRK109	BRK11	BRK110	BRK111	BRK112	BRK113	BRK114	BRK115	BRK116	BRK117	BRK118	BRK119	BRK12	BRK120	BRK121	BRK122	BRK123	BRK124	BRK125	BRK126	BRK127	BRK128	BRK129	BRK13	BRK130	BRK131	BRK132	BRK133	BRK134	BRK135	BRK136	BRK137	BRK138	BRK139	BRK14	BRK140	BRK141	BRK142	BRK143	BRK144	BRK145	BRK147	BRK148	BRK149	BRK15	BRK150	BRK151	BRK152	BRK154	BRK155	BRK156	BRK157	BRK158	BRK159	BRK16	BRK160	BRK161	BRK162	BRK164	BRK165	BRK166	BRK167	BRK168	BRK169	BRK17	BRK171	BRK172	BRK173	BRK174	BRK175	BRK176	BRK177	BRK178	BRK179	BRK18	BRK180	BRK181	BRK182	BRK183	BRK184	BRK185	BRK186	BRK187	BRK188	BRK189	BRK19	BRK190	BRK191	BRK192	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96	BRK97	BRK98	BRK99
OTU_1	1	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	11	2	0	3	0	3	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	5	3	0	0	2	1	7	1	0	3	1	1	1	0	0	0	1	1	0	1	9	0	0	0	1	2	1	4	0	2	7	0	0	0	0	3	4	2	0	0	0	0	0	0	1	1	1	0	1	3	1	1	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0
OTU_3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	0	3	2	0	0	1	0	0	0	2	2	0	3	1	1	0	4	4	2	4	3	3	0	0	5	2	3	5	2	1	2	2	0	3	0	0	0	2	0	2	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	2	2	2	0	0	0	1	0	1	1	0	0	1	0	0	2	1	6	1	1	1	1	0	1	1	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	0	8	3	3	2	1	0	6	4	2	3	3	7	7	3	2	1	0	1	9	0	0	5	5	6	3	1	4	7	7	0	3	3	0	2	1	1	3	2	4	2	1	2	4	1	3	3	0	0	0	2	5	1	0	2	3	0	3	8	1	2	4	0	0	3	0	1	1	1
OTU_5	13	11	44	3	3	12	0	11	3	19	1	42	6	0	11	1	4	15	9	8	35	1	1	0	68	23	63	115	6	23	80	14	0	4	7	9	6	27	0	5	0	4	6	5	6	5	2	2	0	0	0	0	0	7	0	4	0	75	1	5	1	0	0	8	1	2	0	2	0	3	4	7	0	22	3	0	0	61	83	66	20	0	0	4	25	17	15	0	0	0	1	3	1	3	3	0	0	0	0	1	1	0	0	7	6	62	28	0	2	7	2	44	1	28	1	84	53	8	34	0	11	16	6	7	0	2	0	0	5	5	10	1	2	10	37	35	0	40	3	4	1	1	53	6	21	5	3	3	12	6	3	2	2	5	30	1	3	3	3	77	1	4	0	2	0	0	0	0	2	9	8	5	0	0	2	6	13	6	5	19	1	0	17	37	2	2	1	13
OTU_6	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	2	11	0	1	0	0	4	0	0	2	22	4	0	1	0	0	0	0	7	14	12	8	0	3	0	1	0	13	2	7	0	0	0	1	0	0	2	0	0	4	0	0	0	1	0	0	0	0	15	4	1	0	0	1	0	9	1	0	9	0	0	17	14	14	0	0	0	1	5	1	9	0	0	0	0	0	0	0	4	1	1	2	1	0	0	0	0	17	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9
OTU_7	0	16	0	1	5	8	7	7	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	13	0	0	0	2	10	10	0	0	5	6	3	22	9	10	0	7	0	0	0	1	2	5	6	13	42	0	2	6	0	0	0	0	2	3	3	3	0	0	1	3	0	0	2	0	0	0	0	4	0	16	2	23	0	24	0	0	0	2	0	1	29	0	0	2	4	0	11	0	2	4	5	2	0	0	1	1	0	0	0	0	0	0	1
OTU_8	1	1	0	6	2	9	3	4	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	3	13	1	0	0	1	0	0	1	2	1	0	5	19	4	0	0	1	2	2	15	34	5	0	2	0	0	0	0	25	13	0	1	1	0	4	17	0	2	3	0	2	0	0	0	2	0	0	0	0	8	0	0	0	0	0	3	0	1	2	1	2	5	0	0	0	1	0	3	0	0	0	15	0	0	0	0	0	0	1
OTU_9	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	2	3	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	3	1	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0
OTU_10	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	5	1	1	3	1	4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	1	1	0	5	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
