BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK01;1;1;1;Xylan;y;n;Unfermented;XYL2;Human;B;HumanB;XYL2 HumanB;DUP1;s57
BRK02;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP2299;Human;A;HumanA;XYL2 EP2299 HumanA;DUP2;s110
BRK03;1;1;1;Xylan + Soybean;y;n;Fermented;XYL2 EP200;Human;B;HumanB;XYL2 EP200 HumanB;DUP3;s105
BRK04;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;B;HumanB;XYL1 EP1199 HumanB;DUP4;s75
BRK05;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYL1 EP2299;Human;A;HumanA;XYL1 EP2299 HumanA;DUP5;s85
BRK06;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYL1 EP100;Human;A;HumanA;XYL1 EP100 HumanA;DUP6;s67
BRK07;1;1;1;Xylan + Soybean;y;n;Fermented;XYL1 EP200;Human;A;HumanA;XYL1 EP200 HumanA;DUP7;s80
BRK08;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;C;HumanC;XYL1 EP1199 HumanC;DUP8;s77
BRK09;1;1;1;Xylan + Soybean;y;n;Fermented;XYLC EP200;Human;B;HumanB;XYLC EP200 HumanB;DUP9;s129
BRK10;1;1;1;Xylan;y;n;Unfermented;XYLC;Human;B;HumanB;XYLC HumanB;DUP10;s64
BRK11;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYC EP100;Human;C;HumanC;XYC EP100 HumanC;DUP11;s120
BRK12;1;1;1;Xylan;y;n;Unfermented;XYLC;Human;A;HumanA;XYLC HumanA;DUP12;s62
BRK13;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Human;A;HumanA;XYLC EP2299 HumanA;DUP13;s133
BRK14;1;1;1;Soybean + Seaweed;n;y;Fermented;EP2299;Human;A;HumanA;EP2299 HumanA;DUP14;s43
BRK15;1;1;1;Soybean + Seaweed;n;y;Fermented;EP2299;Human;B;HumanB;EP2299 HumanB;DUP15;s45
BRK16;1;1;1;Rapeseed + Seaweed;n;y;Fermented;EP1199;Human;C;HumanC;EP1199 HumanC;DUP16;s96
BRK17;1;1;1;Rapeseed + Seaweed;n;y;Fermented;EP1199;Human;B;HumanB;EP1199 HumanB;DUP17;s94
BRK18;1;1;1;Rapeseed + Seaweed;n;y;Fermented; EP1199;Human;C;HumanC; EP1199 HumanC;DUP18;s36
BRK19;1;1;1;Rapeseed + Seaweed;n;y;Fermented;EP1199;Human;A;HumanA;EP1199 HumanA;DUP19;s92
BRK20;1;1;1;Rapeseed + Seaweed;n;y;Fermented;EP1199;Human;B;HumanB;EP1199 HumanB;DUP17;s34
BRK21;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;A;HumanA;EP100 HumanA;DUP20;s26
BRK22;1;1;1;Rapeseed;n;n;Fermented;EP100;Human;C;HumanC;EP100 HumanC;DUP21;s90
BRK23;1;1;1;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;s1n
BRK24;1;1;1;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;s1p
