#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK62	BRK65	BRK66	BRK67	BRK69	BRK70	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88
OTU_1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	55	4	38	6	47	12	123	64	76	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	10	4	2	0	0	0	0	0	0	0	0	0	16	2	20	3	6	0	6	34	21	5	10	43	4	8	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	2	6	0	0	1	26	0	40	7	9	0	1	26	4	6	10	8	0	8	31	2	2	0	32	12	3	1	9	4	10	1	12	5	9	1	0	0	5	2	15	10	0	2	2	7	10	12	0	0	10	5	4	0	2	7	17	11	9	32	3	3	20	4	6	0	3	0	0
OTU_4	5	9	18	0	0	0	2	1	5	1	3	43	0	2	4	0	2	0	33	0	9	7	1	0	6	3	1	1	0	0	1	3	1	2	46	0	1	3	2	5	14	0	0	1	2	2	1	1	0	1	0	3	0	19	0	10	13	1	0	2	2	39	27	0	0	0	0	0
OTU_5	0	0	15	0	0	0	0	0	0	0	0	0	0	0	41	3	18	0	3	10	28	1	2	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	1	0	20	74	39	26	20	63	8	27	20	18	0	0	0	0	0
OTU_7	2	1	3	1	49	28	0	0	0	0	0	0	0	0	1	12	0	1	54	19	0	8	150	2	51	47	0	7	0	7	51	36	2	66	2	0	19	158	1	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	342
OTU_9	0	0	0	0	0	11	0	10	6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	13	0	1	10	29	8	9	7	13	5	25	6	1	0	3	0	0
OTU_10	0	0	0	0	0	1	0	0	1	10	0	0	7	1	0	1	2	0	0	22	0	0	0	0	0	0	0	1	0	0	0	5	1	0	1	0	0	5	0	3	1	0	0	2	0	2	1	1	0	0	1	1	0	0	0	2	0	1	0	0	0	2	0	0	2	0	5	6
OTU_11	14	8	1	0	0	0	0	0	0	2	0	0	16	2	3	14	10	1	10	30	1	2	1	17	11	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	0	0	0	2	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	1	0	1	0	100	20	2	0	0	0	0	0	0	163	0	20	0	0	154	6	2	9	53	2	359	22	1	3	0	7	73	18	0	33	2	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14	0	0	0	0	0	1	4	0	5	1	0	4	7	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	34	0	0	9	0	1	1	1	58	0	32	9	6	25	0	7	16	5	1	17	1	0	10	0	0
OTU_15	1	13	8	0	3	4	1	19	4	6	0	1	6	2	11	7	2	0	2	6	9	0	0	18	1	2	3	0	1	3	2	1	20	1	0	0	0	1	3	19	0	0	0	3	10	3	0	0	0	3	12	0	0	1	5	6	2	9	9	1	5	3	4	3	0	1	1	0
OTU_16	0	1	4	0	0	28	0	17	3	45	0	2	21	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	12	12	24	0	5	17	5	7	0	0	0	0
OTU_17	15	7	32	0	0	32	18	110	11	53	0	10	60	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	27	2	1	0	0
OTU_18	0	0	0	0	1	1	2	2	58	4	0	6	2	27	6	53	3	1	46	2	2	49	116	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	1	5	0	27	51	3	30	2	0	31	53	6	76	6	0	20	0	0
OTU_19	0	0	0	0	0	6	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	11	0	2	1	20	4	0	10	4	1	23	5	0	0	0	2	0
OTU_20	0	0	5	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	4	1	0	4	12	2	2	24	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21	0	0	11	0	4	33	0	68	20	26	0	2	5	0	27	33	20	1	10	20	61	11	13	69	10	10	25	2	6	22	2	6	101	13	13	3	0	6	25	58	16	0	3	6	43	7	6	3	6	83	17	2	0	15	13	36	34	63	42	9	25	26	11	24	0	7	0	0
OTU_22	0	0	23	2	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	31	6	40	43	26	37	1	0	24	61	59	28	0	1	17	30	47	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	4	9	5	8	166	25	195	12	215	5	3	262	16	164	3	51	3	0	293	13	0	73	7	4	466	42	1	33	1	8	223	81	7	66	2	1	59	58	4	4	29	0	162	14	0	0	43	1	1	1	1	27	0	6	30	5	59	5	6	36	80	16	174	12	2	11	0	0
OTU_24	75	44	31	3	19	16	2	30	79	65	1	37	2	4	60	44	66	0	29	21	60	79	50	15	31	2	53	109	10	17	11	13	53	28	25	2	19	8	84	42	52	1	2	31	23	38	27	2	13	42	17	19	0	10	19	56	28	21	10	19	30	32	22	29	5	12	2	0
OTU_25	0	27	0	0	0	0	0	0	20	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	28	2	5	0	3	8	11	0	11	0	0	24	0	1
OTU_26	1	2	1	0	6	3	0	3	0	1	0	4	0	1	0	5	5	0	6	0	2	3	2	1	1	0	1	4	3	0	0	0	0	1	4	0	0	0	4	1	5	0	0	6	1	4	0	1	1	0	2	0	0	0	6	4	0	1	0	1	3	1	2	0	0	1	0	0
OTU_27	0	0	9	0	2	12	1	0	5	12	0	0	19	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	16	17	1	6	3	0	23	14	0	0	2	8	11
