#OTU ID	MAC23_MAC01_S1	MAC23_MAC02_S2	MAC23_MAC03_S3	MAC23_MAC04_S4	MAC23_MAC05_S5	MAC23_MAC06_S6	MAC23_MAC07_S7	MAC23_MAC08_S8	MAC23_MAC09_S9	MAC23_MAC10_S10	MAC23_MAC11_S11	MAC23_MAC12_S12	MAC23_MAC13_S13	MAC23_MAC14_S14	MAC23_MAC15_S15	MAC23_MAC16_S16	MAC23_MAC17_S17	MAC23_MAC18_S18	MAC23_MAC19_S19	MAC23_MAC20_S20	MAC23_MAC21_S21	MAC23_MAC22_S22	MAC23_MAC23_S23	MAC23_MAC24_S24	MAC23_MAC25_S25	MAC23_MAC26_S26	MAC23_MAC27_S27	MAC23_MAC28_S28	MAC23_MAC29_S29	MAC23_MAC30_S30	MAC23_MAC32_S32	MAC23_MAC31_S31	MAC23_MAC49_S49	MAC23_MAC50_S50	MAC23_MAC51_S51	MAC23_MAC52_S52	MAC23_MAC53_S53	MAC23_MAC54_S54	MAC23_MAC55_S55	MAC23_MAC56_S56	MAC23_MAC57_S57	MAC23_MAC58_S58	MAC23_MAC59_S59	MAC23_MAC60_S60	MAC23_MAC61_S61	MAC23_MAC62_S62	MAC23_MAC63_S63	MAC23_MAC64_S64	MAC23_MAC65_S65	MAC23_MAC66_S66	MAC23_MAC67_S67	MAC23_MAC68_S68	MAC23_MAC69_S69	MAC23_MAC70_S70	MAC23_MAC71_S71	MAC23_MAC72_S72	MAC23_MAC73_S73	MAC23_MAC74_S74	MAC23_MAC75_S75	MAC23_MAC76_S76	MAC23_MAC77_S77	MAC23_MAC78_S78	MAC23_MAC79_S79	MAC23_MAC80_S80	MAC23_MAC81_S81	MAC23_MAC82_S82	MAC23_MAC83_S83	MAC23_MAC84_S84	MAC23_MAC85_S85	MAC23_MAC86_S86	MAC23_MAC87_S87	MAC23_MAC88_S88	MAC23_MAC89_S89	MAC23_MAC90_S90	MAC23_MAC91_S91	MAC23_MAC92_S92	MAC23_MAC93_S93	MAC23_MAC94_S94	MAC23_MAC95_S95	MAC23_MAC96_S96	taxonomy
zOTU_1	84	187	142	233	239	183	209	150	4	10	7	6	6	7	8	9	0	51	0	26	1	1	8	0	0	0	0	0	1	0	0	0	393	1351	1023	747	645	241	745	917	394	799	592	863	779	294	320	591	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4689	7117	7360	6661	7875	7605	8921	7748	0	2	7	2	2	2	7	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii
zOTU_10	1408	3275	2374	3693	3528	2872	2700	2299	39	62	65	69	67	54	131	130	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	442	1451	1143	554	375	158	573	689	68	153	103	116	97	38	30	59	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	2	126	211	204	155	168	143	200	149	0	3	0	1	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis
zOTU_100	0	3	1	0	0	0	0	0	0	0	1	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	916	841	822	1015	916	1183	1042	0	0	1	0	1	0	1	2	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_dispar
zOTU_1000	1	0	3	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	8	9	10	2	7	8	0	1	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__Flavonifractor_plautii
zOTU_1001	3	11	2	2	5	6	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	1	2	2	5	3	6	4	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
zOTU_1002	0	0	0	0	0	0	0	0	1	5	7	4	4	1	9	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	4	3	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
zOTU_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	13	11	9	3	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
zOTU_1004	0	2	1	2	2	2	3	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	6	2	0	5	6	6	1	6	6	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis
zOTU_1005	1	8	4	9	10	8	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria
zOTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	4	6	6	19	11	2	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes
zOTU_1007	0	0	0	0	0	0	0	0	2	5	8	3	6	4	11	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae
