"barcode"	"group"
"BRK01"	"BRK01"	"A"
"BRK02"	"BRK02"	"A"
"BRK03"	"BRK03"	"A"
"BRK04"	"BRK04"	"A"
"BRK05"	"BRK05"	"A"
"BRK06"	"BRK06"	"A"
"BRK07"	"BRK07"	"A"
"BRK08"	"BRK08"	"A"
"BRK09"	"BRK09"	"A"
"BRK10"	"BRK10"	"A"
"BRK11"	"BRK11"	"A"
"BRK12"	"BRK12"	"A"
"BRK13"	"BRK13"	"B"
"BRK14"	"BRK14"	"B"
"BRK15"	"BRK15"	"B"
"BRK16"	"BRK16"	"B"
"BRK17"	"BRK17"	"B"
"BRK18"	"BRK18"	"B"
"BRK19"	"BRK19"	"B"
"BRK20"	"BRK20"	"B"
"BRK21"	"BRK21"	"B"
"BRK22"	"BRK22"	"B"
"BRK23"	"BRK23"	"B"
"BRK24"	"BRK24"	"B"
"BRK25"	"BRK25"	"C"
"BRK26"	"BRK26"	"C"
"BRK27"	"BRK27"	"C"
"BRK28"	"BRK28"	"C"
"BRK29"	"BRK29"	"C"
"BRK30"	"BRK30"	"C"
"BRK31"	"BRK31"	"C"
"BRK32"	"BRK32"	"C"
"BRK33"	"BRK33"	"C"
"BRK34"	"BRK34"	"C"
"BRK35"	"BRK35"	"C"
"BRK36"	"BRK36"	"C"
"BRK37"	"BRK37"	"D"
"BRK38"	"BRK38"	"D"
"BRK39"	"BRK39"	"D"
"BRK40"	"BRK40"	"D"
"BRK41"	"BRK41"	"D"
"BRK42"	"BRK42"	"D"
"BRK43"	"BRK43"	"D"
"BRK44"	"BRK44"	"D"
"BRK45"	"BRK45"	"D"
"BRK46"	"BRK46"	"D"
"BRK47"	"BRK47"	"D"
"BRK48"	"BRK48"	"D"
"BRK49"	"BRK49"	"E"
"BRK50"	"BRK50"	"E"
"BRK51"	"BRK51"	"E"
"BRK52"	"BRK52"	"E"
"BRK53"	"BRK53"	"E"
"BRK54"	"BRK54"	"E"
"BRK55"	"BRK55"	"E"
"BRK56"	"BRK56"	"E"
"BRK57"	"BRK57"	"E"
"BRK58"	"BRK58"	"E"
"BRK59"	"BRK59"	"E"
"BRK60"	"BRK60"	"E"
"BRK61"	"BRK61"	"F"
"BRK62"	"BRK62"	"F"
"BRK63"	"BRK63"	"F"
"BRK64"	"BRK64"	"F"
"BRK65"	"BRK65"	"F"
"BRK66"	"BRK66"	"F"
"BRK67"	"BRK67"	"F"
"BRK68"	"BRK68"	"F"
"BRK69"	"BRK69"	"F"
"BRK70"	"BRK70"	"F"
"BRK71"	"BRK71"	"F"
"BRK72"	"BRK72"	"F"
"BRK73"	"BRK73"	"G"
"BRK74"	"BRK74"	"G"
"BRK75"	"BRK75"	"G"
"BRK76"	"BRK76"	"G"
"BRK77"	"BRK77"	"G"
"BRK78"	"BRK78"	"G"
"BRK80"	"BRK80"	"G"
"BRK81"	"BRK81"	"G"
"BRK82"	"BRK82"	"G"
"BRK83"	"BRK83"	"G"
"BRK84"	"BRK84"	"G"
"BRK85"	"BRK85"	"G"
"BRK86"	"BRK86"	"H"
"BRK87"	"BRK87"	"H"
"BRK88"	"BRK88"	"H"
"BRK89"	"BRK89"	"H"
"BRK90"	"BRK90"	"H"
"BRK91"	"BRK91"	"H"
"BRK92"	"BRK92"	"H"
"BRK93"	"BRK93"	"H"
"BRK94"	"BRK94"	"H"
"BRK95"	"BRK95"	"Mock"
"BRK96"	"BRK96"	"Mock"
