# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1338	+	CNGMIB_00001	-	-	-	-	-	-
contig_1	cds	1563	2756	+	CNGMIB_00002	729.0	2.0e-266	1.0	1.0	1.0	UniRef:UniRef50_S3XA84
contig_1	cds	2989	3189	+	CNGMIB_00003	-	-	-	-	-	-
contig_1	cds	3186	4220	+	CNGMIB_00004	-	-	-	-	-	-
contig_1	cds	4307	4942	+	CNGMIB_00005	241.0	1.6e-79	0.938	0.908	0.606	UniRef:UniRef50_A0A080N277
contig_1	cds	4966	5655	+	CNGMIB_00006	312.0	9.3e-107	0.908	0.842	0.784	UniRef:UniRef50_Q6A7F0
contig_1	cds	5777	7054	+	CNGMIB_00007	585.0	1.4e-207	0.984	0.874	0.713	UniRef:UniRef50_Q2FXQ7
contig_1	cds	7166	7480	-	CNGMIB_00008	209.0	6.6e-70	1.0	0.912	0.990	UniRef:UniRef50_A0A375I2Y1
contig_1	cds	7598	9040	+	CNGMIB_00009	575.0	2.3e-201	1.146	0.987	0.565	UniRef:UniRef50_P23669
contig_1	cds	9119	10240	+	CNGMIB_00010	441.0	1.0e-152	1.008	0.924	0.628	UniRef:UniRef50_A0A969H9R7
contig_1	cds	10367	11074	+	CNGMIB_00011	235.0	4.5e-76	0.940	0.877	0.557	UniRef:UniRef50_D7GCU6
contig_1	cds	11182	13800	-	CNGMIB_00012	1029.0	0.0	0.913	0.819	0.619	UniRef:UniRef50_A0A8J3VT02
contig_1	cds	13899	14693	-	CNGMIB_00013	431.0	1.2e-152	1.0	1.0	0.973	UniRef:UniRef50_D7GCU9
contig_1	cds	14957	15751	-	CNGMIB_00014	350.0	5.7e-121	0.996	0.996	0.825	UniRef:UniRef50_D7GCU9
contig_1	cds	15787	16398	-	CNGMIB_00015	187.0	1.8e-58	0.877	0.832	0.517	UniRef:UniRef50_S3YEW6
contig_1	cds	16560	18017	+	CNGMIB_00016	899.0	0.0	0.977	0.908	0.987	UniRef:UniRef50_D7GCV1
contig_1	cds	18128	18604	+	CNGMIB_00017	132.0	3.2e-38	0.848	0.827	0.515	UniRef:UniRef50_A0A7K2BR77
contig_1	cds	18811	19941	+	CNGMIB_00018	723.0	1.8e-263	1.0	0.832	0.987	UniRef:UniRef50_D7GCV3
contig_1	cds	20018	21961	+	CNGMIB_00019	846.0	1.6e-303	0.971	0.904	0.639	UniRef:UniRef50_Q9L1H1
contig_1	cds	22025	22864	-	CNGMIB_00020	-	-	-	-	-	-
contig_1	cds	22864	23124	-	CNGMIB_00021	-	-	-	-	-	-
contig_1	cds	23121	24377	-	CNGMIB_00022	718.0	2.8e-260	0.923	0.802	1.0	UniRef:UniRef50_A0A1A6BLG4
contig_1	cds	24592	25047	+	CNGMIB_00023	-	-	-	-	-	-
contig_1	cds	25111	25956	+	CNGMIB_00024	-	-	-	-	-	-
contig_1	cds	26116	26646	+	CNGMIB_00025	-	-	-	-	-	-
contig_1	cds	26643	28901	+	CNGMIB_00026	-	-	-	-	-	-
contig_1	cds	29098	29445	+	CNGMIB_00027	114.0	3.7e-32	0.887	0.850	0.578	UniRef:UniRef50_A4XAG3
contig_1	cds	29459	29722	+	CNGMIB_00028	106.0	8.3e-30	0.954	0.806	0.663	UniRef:UniRef50_P60493
contig_1	cds	29871	31472	+	CNGMIB_00029	676.0	2.1e-240	0.934	0.877	0.703	UniRef:UniRef50_Q6A9H8
contig_1	cds	31465	32634	+	CNGMIB_00030	395.0	1.4e-133	0.949	0.811	0.602	UniRef:UniRef50_Q9RDJ9
contig_1	cds	32667	33335	+	CNGMIB_00031	-	-	-	-	-	-
contig_1	cds	33342	34586	+	CNGMIB_00032	441.0	2.6e-150	1.002	0.803	0.576	UniRef:UniRef50_B2HME9
contig_1	cds	34660	35430	+	CNGMIB_00033	-	-	-	-	-	-
contig_1	cds	35427	35810	+	CNGMIB_00034	-	-	-	-	-	-
contig_1	cds	35810	36418	+	CNGMIB_00035	-	-	-	-	-	-
contig_1	cds	36477	36914	+	CNGMIB_00036	177.0	4.5e-56	0.993	0.906	0.618	UniRef:UniRef50_K9B0U7
contig_1	cds	37029	37949	+	CNGMIB_00037	419.0	2.1e-146	0.993	0.907	0.664	UniRef:UniRef50_F9VBV2
contig_1	tRNA	38077	38149	-	CNGMIB_00038	74.4	-	-	-	-	-
contig_1	cds	38252	38992	-	CNGMIB_00039	-	-	-	-	-	-
contig_1	cds	39161	39796	+	CNGMIB_00040	-	-	-	-	-	-
contig_1	cds	39859	40218	+	CNGMIB_00041	-	-	-	-	-	-
contig_1	cds	40535	43063	+	CNGMIB_00042	1039.0	0.0	0.999	0.891	0.612	UniRef:UniRef50_A9WS85
contig_1	cds	43120	44412	+	CNGMIB_00043	582.0	9.5e-207	0.988	0.970	0.687	UniRef:UniRef50_D7GCX7
contig_1	cds	44430	46184	+	CNGMIB_00044	649.0	3.3e-228	0.981	0.929	0.564	UniRef:UniRef50_A0A2I1PCN6
contig_1	cds	46369	47280	+	CNGMIB_00045	573.0	2.3e-207	1.0	0.932	1.0	UniRef:UniRef50_D7GCX9
contig_1	cds	47670	49715	+	CNGMIB_00046	1301.0	0.0	1.001	0.834	0.997	UniRef:UniRef50_A0A0B7P109
contig_1	cds	50079	50795	+	CNGMIB_00047	-	-	-	-	-	-
contig_1	cds	50839	51501	-	CNGMIB_00048	-	-	-	-	-	-
contig_1	cds	51635	51895	-	CNGMIB_00049	87.8	1.6e-22	0.895	0.846	0.662	UniRef:UniRef50_A0R102
contig_1	cds	52150	52836	+	CNGMIB_00050	-	-	-	-	-	-
contig_1	cds	53016	54128	+	CNGMIB_00051	449.0	9.6e-157	0.816	0.875	0.772	UniRef:UniRef50_B3V9T4
contig_1	cds	54080	54844	+	CNGMIB_00052	-	-	-	-	-	-
contig_1	cds	54847	56046	+	CNGMIB_00053	443.0	3.9e-153	0.937	0.930	0.610	UniRef:UniRef50_P9WP73
contig_1	cds	56111	57022	+	CNGMIB_00054	364.0	4.5e-125	0.960	0.933	0.588	UniRef:UniRef50_D7GCY8
contig_1	cds	57100	57876	+	CNGMIB_00055	-	-	-	-	-	-
contig_1	cds	58133	59143	+	CNGMIB_00056	335.0	2.1e-111	1.009	0.819	0.546	UniRef:UniRef50_Q2JDK0
