# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	70	1476	+	LKFOJG_00001	512.0	2.9e-177	1.051	0.911	0.573	UniRef:UniRef50_B1MDH6
contig_1	cds	1576	2571	+	LKFOJG_00002	415.0	6.8e-144	0.997	0.935	0.664	UniRef:UniRef50_I7L9P0
contig_1	cds	2525	4015	-	LKFOJG_00003	458.0	8.8e-156	0.901	0.860	0.553	UniRef:UniRef50_A0A251YFG4
contig_1	cds	4257	4874	+	LKFOJG_00004	-	-	-	-	-	-
contig_1	cds	4871	6052	-	LKFOJG_00005	419.0	1.2e-143	0.962	0.892	0.579	UniRef:UniRef50_A0A0J1BYV0
contig_1	cds	6066	7313	-	LKFOJG_00006	585.0	4.0e-208	0.949	0.887	0.723	UniRef:UniRef50_A0A2X4UCS6
contig_1	cds	7785	8729	+	LKFOJG_00007	296.0	4.5e-98	0.908	0.916	0.547	UniRef:UniRef50_G9PGZ8
contig_1	cds	8731	11289	+	LKFOJG_00008	959.0	0.0	1.0	0.966	0.624	UniRef:UniRef50_D7GHD5
contig_1	cds	12261	12962	-	LKFOJG_00009	-	-	-	-	-	-
contig_1	cds	13164	14324	+	LKFOJG_00010	463.0	1.8e-161	1.0	0.997	0.635	UniRef:UniRef50_U2S8Q6
contig_1	cds	14398	15699	+	LKFOJG_00011	446.0	3.4e-153	0.915	0.894	0.626	UniRef:UniRef50_A0A7X7Q6U8
contig_1	cds	15728	16474	+	LKFOJG_00012	-	-	-	-	-	-
contig_1	cds	16727	18394	+	LKFOJG_00013	1104.0	0.0	1.0	1.0	0.995	UniRef:UniRef50_A0A2C7AH28
contig_1	cds	18676	19650	+	LKFOJG_00014	-	-	-	-	-	-
contig_1	cds	20071	22113	+	LKFOJG_00015	895.0	0.0	0.993	0.923	0.680	UniRef:UniRef50_C9KQA6
contig_1	cds	22160	24895	+	LKFOJG_00016	1149.0	0.0	0.939	0.909	0.678	UniRef:UniRef50_A0A3S4WX55
contig_1	cds	25117	26001	+	LKFOJG_00017	576.0	4.4e-209	1.0	1.0	1.0	UniRef:UniRef50_D7GHE6
contig_1	cds	26132	26407	-	LKFOJG_00018	125.0	6.0e-37	0.978	0.802	0.629	UniRef:UniRef50_U1Q991
