#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1631	2533	+	FGLLDJ_00002	32.2	5.4	PF10128.15|OpcA_G6PD_assem, PF20171.3|OpcA_G6PD_C	PFAM:PF10128.15, PFAM:PF20171.3
contig_1	7696	8541	-	FGLLDJ_00009	29.2	11.1		
contig_1	8658	8861	+	FGLLDJ_00010	6.8	12.0		
contig_1	40331	40876	-	FGLLDJ_00036	19.2	6.6		
contig_1	42571	42864	-	FGLLDJ_00039	10.9	10.9		
contig_1	42868	43389	-	FGLLDJ_00040	18.9	4.6		
contig_1	46526	47968	-	FGLLDJ_00044	51.2	5.6	PF01225.30|Mur_ligase, PF02875.26|Mur_ligase_C, PF08245.18|Mur_ligase_M	PFAM:PF01225.30, PFAM:PF02875.26, PFAM:PF08245.18
contig_1	65917	66318	-	FGLLDJ_00058	14.9	5.7	PF20114.4|DUF6504	PFAM:PF20114.4
contig_1	69683	70753	+	FGLLDJ_00061	37.5	5.1	PF00348.22|polyprenyl_synt	PFAM:PF00348.22
contig_1	79675	79944	+	FGLLDJ_00069	9.7	4.4	PF01037.27|AsnC_trans_reg	PFAM:PF01037.27
contig_1	83308	83976	+	FGLLDJ_00073	23.9	11.2		SO:0001217, UniRef:UniRef50_D7GEW7
contig_1	84002	84685	+	FGLLDJ_00074	23.6	6.8		
contig_1	84825	85250	+	FGLLDJ_00075	14.7	9.5		
contig_1	86340	86774	-	FGLLDJ_00077	15.6	4.9		
contig_1	96497	97651	-	FGLLDJ_00088	40.0	4.8	PF00448.28|SRP54, PF02881.24|SRP54_N	PFAM:PF00448.28, PFAM:PF02881.24
contig_1	97743	97940	-	FGLLDJ_00089	7.3	11.7		
