# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1530	+	BPMOEK_00001	-	-	-	-	-	-
contig_1	cds	1617	2582	-	BPMOEK_00002	620.0	7.4e-226	1.0	1.0	0.997	UniRef:UniRef50_D7GE39
contig_1	cds	2728	2919	-	BPMOEK_00003	-	-	-	-	-	-
contig_1	cds	3082	5202	+	BPMOEK_00004	930.0	0.0	0.963	1.015	0.709	UniRef:UniRef50_A0A6L7ESQ1
contig_1	cds	5227	6144	-	BPMOEK_00005	408.0	2.2e-142	0.987	0.968	0.674	UniRef:UniRef50_D7GE36
contig_1	cds	6250	8712	-	BPMOEK_00006	809.0	3.3e-282	1.0	0.863	0.535	UniRef:UniRef50_D7B319
contig_1	cds	8838	9923	-	BPMOEK_00007	361.0	7.9e-122	0.956	0.891	0.554	UniRef:UniRef50_A0A375I0N3
contig_1	cds	9979	10572	+	BPMOEK_00008	253.0	4.7e-84	0.980	0.858	0.627	UniRef:UniRef50_D7GE33
contig_1	cds	10576	11727	+	BPMOEK_00009	417.0	3.8e-143	0.982	0.900	0.582	UniRef:UniRef50_S3Y3C2
contig_1	cds	11830	13158	-	BPMOEK_00010	791.0	5.1e-289	1.0	0.944	0.989	UniRef:UniRef50_D7GE31
contig_1	cds	13374	13748	+	BPMOEK_00011	130.0	3.7e-38	0.919	0.826	0.588	UniRef:UniRef50_O54130
contig_1	cds	13860	14180	-	BPMOEK_00012	-	-	-	-	-	-
contig_1	cds	14470	15291	+	BPMOEK_00013	263.0	5.4e-86	1.007	0.986	0.575	UniRef:UniRef50_D7GE28
contig_1	cds	15288	15668	+	BPMOEK_00014	-	-	-	-	-	-
contig_1	cds	15675	16343	-	BPMOEK_00015	251.0	3.3e-82	1.009	0.824	0.585	UniRef:UniRef50_A0A7V8Y8S7
contig_1	cds	16357	17019	-	BPMOEK_00016	246.0	1.1e-80	0.977	0.814	0.577	UniRef:UniRef50_A0A255EHZ2
contig_1	cds	17192	19186	+	BPMOEK_00017	725.0	8.9e-255	0.983	0.871	0.593	UniRef:UniRef50_K0ZD21
contig_1	cds	19183	20361	+	BPMOEK_00018	454.0	4.2e-157	0.985	0.902	0.598	UniRef:UniRef50_S3XBV1
contig_1	cds	20358	20618	+	BPMOEK_00019	-	-	-	-	-	-
contig_1	cds	20653	21726	-	BPMOEK_00020	327.0	4.0e-108	1.014	0.885	0.522	UniRef:UniRef50_A0A086ZVY2
contig_1	cds	21723	22373	-	BPMOEK_00021	437.0	8.1e-157	1.0	1.0	0.995	UniRef:UniRef50_D7GE19
contig_1	cds	22370	23077	-	BPMOEK_00022	-	-	-	-	-	-
contig_1	cds	23059	23343	-	BPMOEK_00023	-	-	-	-	-	-
contig_1	cds	23835	24863	+	BPMOEK_00024	704.0	6.6e-258	1.0	0.922	1.0	UniRef:UniRef50_A0A3G9JRI8
contig_1	cds	24971	26401	+	BPMOEK_00025	907.0	0.0	1.0	1.0	0.998	UniRef:UniRef50_D7GE15
contig_1	cds	26655	29327	+	BPMOEK_00026	1261.0	0.0	1.103	0.997	0.666	UniRef:UniRef50_A0A031IA86
contig_1	cds	29439	29741	+	BPMOEK_00027	114.0	1.2e-32	0.990	0.980	0.545	UniRef:UniRef50_G9ZKG7
contig_1	cds	29891	30421	+	BPMOEK_00028	164.0	6.2e-50	0.972	0.940	0.550	UniRef:UniRef50_A0A7X7V7E9
contig_1	cds	30472	32487	+	BPMOEK_00029	715.0	1.8e-252	0.931	0.986	0.589	UniRef:UniRef50_A0A0T6LUK1
contig_1	cds	32539	33804	-	BPMOEK_00030	848.0	0.0	1.0	0.946	1.0	UniRef:UniRef50_D7GE10
contig_1	cds	33873	34472	-	BPMOEK_00031	-	-	-	-	-	-
contig_1	cds	34558	35082	-	BPMOEK_00032	308.0	1.3e-106	0.931	0.814	0.994	UniRef:UniRef50_A0A1Q2CRI5
contig_1	cds	35106	35558	-	BPMOEK_00033	187.0	3.2e-60	0.847	0.914	0.661	UniRef:UniRef50_A0A7W0CNM0
contig_1	cds	35706	36581	+	BPMOEK_00034	598.0	5.0e-218	1.0	1.0	1.0	UniRef:UniRef50_D7GE06
contig_1	cds	36707	37549	-	BPMOEK_00035	319.0	5.3e-108	0.882	0.849	0.676	UniRef:UniRef50_U2RFN5
contig_1	tRNA	38210	38281	-	BPMOEK_00036	74.3	-	-	-	-	-
contig_1	tRNA	38685	38757	+	BPMOEK_00037	86.1	-	-	-	-	-
contig_1	tRNA	38819	38889	+	BPMOEK_00038	68.7	-	-	-	-	-
contig_1	tRNA	38891	38962	+	BPMOEK_00039	66.0	-	-	-	-	-
contig_1	cds	39277	41319	+	BPMOEK_00040	821.0	9.3e-292	0.966	0.839	0.621	UniRef:UniRef50_Q6A8U3
contig_1	cds	41312	41917	+	BPMOEK_00041	253.0	1.5e-84	0.905	0.973	0.615	UniRef:UniRef50_G4CZK5
contig_1	cds	41910	42539	+	BPMOEK_00042	244.0	1.5e-80	1.0	0.991	0.608	UniRef:UniRef50_D7GE01
contig_1	cds	42572	43414	+	BPMOEK_00043	346.0	1.4e-118	1.007	0.956	0.599	UniRef:UniRef50_A0A383S8N9
contig_1	cds	43411	44556	+	BPMOEK_00044	417.0	4.7e-143	0.945	0.865	0.581	UniRef:UniRef50_D7GDZ9
contig_1	cds	44596	45273	+	BPMOEK_00045	191.0	2.5e-59	0.898	0.940	0.535	UniRef:UniRef50_A0A1Z9D8N5
contig_1	cds	45324	46121	+	BPMOEK_00046	497.0	1.6e-178	1.0	0.936	0.996	UniRef:UniRef50_D7GDZ7
contig_1	cds	46149	46481	+	BPMOEK_00047	121.0	5.1e-35	1.0	0.940	0.600	UniRef:UniRef50_Q8G698
contig_1	cds	46474	47208	+	BPMOEK_00048	-	-	-	-	-	-
contig_1	cds	47320	47703	+	BPMOEK_00049	169.0	1.9e-53	0.953	0.801	0.645	UniRef:UniRef50_A0A6J4L1B0
contig_1	cds	47869	48357	+	BPMOEK_00050	187.0	2.0e-59	1.019	0.855	0.600	UniRef:UniRef50_A0AAD1KQD2
contig_1	cds	48357	49091	+	BPMOEK_00051	-	-	-	-	-	-
contig_1	cds	49093	49554	+	BPMOEK_00052	-	-	-	-	-	-
contig_1	cds	49735	50310	+	BPMOEK_00053	218.0	1.6e-70	0.984	0.803	0.601	UniRef:UniRef50_U1RMY4
contig_1	cds	50462	53377	+	BPMOEK_00054	1095.0	0.0	1.0	0.973	0.605	UniRef:UniRef50_B2J427
contig_1	cds	53395	54843	+	BPMOEK_00055	464.0	1.7e-158	0.902	0.865	0.591	UniRef:UniRef50_A0A383S9D3
contig_1	cds	54816	57023	-	BPMOEK_00056	1219.0	0.0	1.0	1.0	0.999	UniRef:UniRef50_A0A3E2DHJ8
contig_1	cds	57028	57840	-	BPMOEK_00057	508.0	6.5e-183	1.0	1.0	0.996	UniRef:UniRef50_D7GDY5
contig_1	cds	57837	58451	-	BPMOEK_00058	-	-	-	-	-	-
contig_1	cds	58545	59366	-	BPMOEK_00059	522.0	1.3e-188	1.0	1.0	0.996	UniRef:UniRef50_D7GDY3
contig_1	cds	59326	59997	-	BPMOEK_00060	253.0	8.6e-84	0.942	0.938	0.624	UniRef:UniRef50_K7SHJ2
contig_1	cds	59994	62579	-	BPMOEK_00061	-	-	-	-	-	-
contig_1	cds	62573	63175	-	BPMOEK_00062	271.0	1.5e-91	0.950	0.868	0.684	UniRef:UniRef50_D7GDY0
contig_1	cds	63172	64617	-	BPMOEK_00063	-	-	-	-	-	-
contig_1	cds	64614	65645	-	BPMOEK_00064	332.0	7.7e-111	0.918	0.849	0.543	UniRef:UniRef50_A0A7X6NUB2
contig_1	cds	65649	66227	+	BPMOEK_00065	243.0	8.4e-81	0.979	0.974	0.633	UniRef:UniRef50_D7GDX7
contig_1	cds	66486	67967	-	BPMOEK_00066	514.0	2.1e-177	0.935	0.831	0.568	UniRef:UniRef50_A0A7Y9S8C2
contig_1	cds	68129	68986	+	BPMOEK_00067	-	-	-	-	-	-
contig_1	tRNA	69062	69135	+	BPMOEK_00068	78.0	-	-	-	-	-
contig_1	cds	69259	69963	+	BPMOEK_00069	-	-	-	-	-	-
contig_1	cds	70070	71026	-	BPMOEK_00070	-	-	-	-	-	-
contig_1	cds	71131	72564	-	BPMOEK_00071	496.0	1.6e-171	0.990	0.946	0.536	UniRef:UniRef50_D7GDX1
contig_1	cds	72834	73166	-	BPMOEK_00072	-	-	-	-	-	-
contig_1	cds	73204	73899	-	BPMOEK_00073	479.0	6.4e-173	1.0	0.996	1.0	UniRef:UniRef50_D7GDW9
contig_1	cds	74069	75937	+	BPMOEK_00074	-	-	-	-	-	-
contig_1	cds	76010	76864	+	BPMOEK_00075	530.0	2.8e-191	1.0	1.0	0.996	UniRef:UniRef50_D7GDW7
contig_1	cds	76944	77510	+	BPMOEK_00076	377.0	5.8e-134	1.0	1.0	1.0	UniRef:UniRef50_D7GDW6
contig_1	tRNA	77594	77669	+	BPMOEK_00077	79.3	-	-	-	-	-
contig_1	cds	77841	79055	-	BPMOEK_00078	452.0	2.5e-155	0.983	0.804	0.587	UniRef:UniRef50_P29495
contig_1	cds	79279	79701	+	BPMOEK_00079	-	-	-	-	-	-
contig_1	cds	79770	80387	+	BPMOEK_00080	186.0	6.9e-58	0.946	0.924	0.500	UniRef:UniRef50_A0A238TBW7
contig_1	cds	80437	81336	-	BPMOEK_00081	585.0	1.4e-212	1.0	1.0	0.993	UniRef:UniRef50_A0A509MH24
contig_1	cds	81502	82302	+	BPMOEK_00082	318.0	3.6e-108	0.996	0.967	0.600	UniRef:UniRef50_U2RX36
contig_1	cds	82441	83478	-	BPMOEK_00083	635.0	1.0e-230	0.936	0.918	0.994	UniRef:UniRef50_D7GDW0
contig_1	cds	83644	84435	-	BPMOEK_00084	307.0	2.1e-103	1.011	0.881	0.609	UniRef:UniRef50_A0A1E3ALS5
contig_1	cds	84437	85390	-	BPMOEK_00085	305.0	9.0e-101	0.946	0.826	0.577	UniRef:UniRef50_M1TSX2
contig_1	cds	85397	86398	-	BPMOEK_00086	358.0	3.1e-121	1.036	0.894	0.574	UniRef:UniRef50_D6ZIX3
contig_1	cds	86566	87189	+	BPMOEK_00087	256.0	1.9e-85	1.019	0.995	0.578	UniRef:UniRef50_D7GDV6
contig_1	cds	87211	88923	+	BPMOEK_00088	739.0	3.7e-264	0.970	0.917	0.640	UniRef:UniRef50_A0A355IZF9
contig_1	cds	88968	89714	-	BPMOEK_00089	511.0	3.6e-185	1.0	1.0	0.996	UniRef:UniRef50_D7GDV4
contig_1	cds	89730	90182	+	BPMOEK_00090	296.0	3.5e-103	1.0	1.0	1.0	UniRef:UniRef50_Q5YYP1
contig_1	cds	90179	91711	+	BPMOEK_00091	549.0	2.1e-191	0.967	0.944	0.588	UniRef:UniRef50_A0A6G7YA61
contig_1	cds	91708	92568	+	BPMOEK_00092	-	-	-	-	-	-
contig_1	cds	92561	93814	+	BPMOEK_00093	543.0	8.7e-192	0.954	0.932	0.688	UniRef:UniRef50_Q7NUD8
contig_1	cds	93811	94707	+	BPMOEK_00094	331.0	7.8e-112	0.966	0.900	0.622	UniRef:UniRef50_A0A1H2A3K5
contig_1	cds	94704	95675	+	BPMOEK_00095	405.0	9.9e-141	0.833	0.815	0.691	UniRef:UniRef50_A0A383S2V8
contig_1	cds	95819	100327	+	BPMOEK_00096	1784.0	0.0	1.129	1.002	0.558	UniRef:UniRef50_A0A564WKR8
contig_1	cds	100320	101789	+	BPMOEK_00097	555.0	4.0e-194	1.051	0.998	0.560	UniRef:UniRef50_A0A2I0D9Z1
contig_1	cds	101809	102480	-	BPMOEK_00098	400.0	8.5e-142	1.0	1.0	1.0	UniRef:UniRef50_D7GDU5
contig_1	cds	102706	105921	+	BPMOEK_00099	1218.0	0.0	0.894	1.002	0.643	UniRef:UniRef50_D9WXU9
contig_1	cds	105978	106283	+	BPMOEK_00100	-	-	-	-	-	-
contig_1	rRNA	106690	108208	+	BPMOEK_00101	1553.5	2.1e-47	-	-	-	RFAM:RF00177
contig_1	rRNA	108548	111675	+	BPMOEK_00102	2743.2	6.1e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	111818	111934	+	BPMOEK_00103	104.0	9.4e-18	-	-	-	RFAM:RF00001
contig_1	cds	113021	114046	+	BPMOEK_00104	579.0	2.0e-208	1.085	1.0	0.903	UniRef:UniRef50_D7GED0
contig_1	cds	114043	115074	+	BPMOEK_00105	397.0	7.2e-137	1.035	1.006	0.594	UniRef:UniRef50_A0A344UTG1
contig_1	cds	115263	115892	+	BPMOEK_00106	357.0	1.7e-125	1.0	1.0	1.0	UniRef:UniRef50_A0AAD1KPL4
contig_1	cds	115906	116634	+	BPMOEK_00107	246.0	3.5e-80	0.975	0.858	0.564	UniRef:UniRef50_A0A448NY12
contig_1	cds	116631	117239	+	BPMOEK_00108	238.0	2.2e-78	1.005	0.958	0.571	UniRef:UniRef50_D7GEC5
contig_1	cds	117312	117551	+	BPMOEK_00109	-	-	-	-	-	-
contig_1	cds	117616	118539	+	BPMOEK_00110	608.0	1.9e-221	1.0	0.968	0.993	UniRef:UniRef50_D7GEC3
contig_1	cds	118533	120224	+	BPMOEK_00111	478.0	1.3e-161	0.993	0.946	0.547	UniRef:UniRef50_A0A3P1WV37
contig_1	cds	120311	122065	+	BPMOEK_00112	769.0	5.0e-275	0.935	0.865	0.696	UniRef:UniRef50_A4T9Y6
contig_1	cds	122058	122720	+	BPMOEK_00113	246.0	8.3e-81	0.991	0.890	0.578	UniRef:UniRef50_A0A344UTG9
contig_1	cds	122713	123708	+	BPMOEK_00114	320.0	2.9e-106	0.921	0.833	0.577	UniRef:UniRef50_A0A0C5B9C9
contig_1	cds	123829	124725	+	BPMOEK_00115	343.0	8.5e-117	0.933	0.861	0.626	UniRef:UniRef50_A0A231GVQ1
contig_1	cds	124710	124985	+	BPMOEK_00116	-	-	-	-	-	-
