#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1	1338	+	CNGMIB_00001	48.4	4.5	PF00254.34|FKBP_C	PFAM:PF00254.34
contig_1	2989	3189	+	CNGMIB_00003	6.5	5.5		
contig_1	3186	4220	+	CNGMIB_00004	37.2	10.0		
contig_1	7166	7480	-	CNGMIB_00008	11.3	10.9		SO:0001217, UniRef:UniRef50_A0A375I2Y1
contig_1	22025	22864	-	CNGMIB_00020	28.5	9.0		
contig_1	22864	23124	-	CNGMIB_00021	9.1	9.8		
contig_1	24592	25047	+	CNGMIB_00023	16.7	6.9	PF01047.28|MarR	PFAM:PF01047.28
contig_1	25111	25956	+	CNGMIB_00024	30.9	9.8		
contig_1	26116	26646	+	CNGMIB_00025	18.3	10.6		
contig_1	26643	28901	+	CNGMIB_00026	83.0	5.9		
contig_1	32667	33335	+	CNGMIB_00031	24.1	8.3		
contig_1	34660	35430	+	CNGMIB_00033	28.0	5.1	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_1	35427	35810	+	CNGMIB_00034	14.1	4.6		
contig_1	35810	36418	+	CNGMIB_00035	21.6	5.3	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_1	38252	38992	-	CNGMIB_00039	25.3	5.1		
contig_1	39161	39796	+	CNGMIB_00040	22.4	5.9		
contig_1	39859	40218	+	CNGMIB_00041	13.3	8.5		
contig_1	50079	50795	+	CNGMIB_00047	25.4	10.3	PF21694.2|DNA_pol3_delta_C	PFAM:PF21694.2
contig_1	50839	51501	-	CNGMIB_00048	24.3	11.5		
contig_1	52150	52836	+	CNGMIB_00050	24.7	8.9		
contig_1	54080	54844	+	CNGMIB_00052	28.8	6.3	PF00679.30|EFG_C	PFAM:PF00679.30
contig_1	57100	57876	+	CNGMIB_00055	27.9	5.3		
contig_1	61004	62425	-	CNGMIB_00059	51.2	11.0	PF00149.33|Metallophos	PFAM:PF00149.33
contig_1	64212	64475	+	CNGMIB_00061	8.7	4.1	PF18970.5|DUF5709	PFAM:PF18970.5
contig_1	65714	66163	+	CNGMIB_00063	15.9	10.8		
contig_1	70808	71359	+	CNGMIB_00068	19.9	9.7	PF00350.29|Dynamin_N, PF02421.24|FeoB_N, PF03193.22|RsgA_GTPase, PF04548.22|AIG1, PF10662.15|PduV-EutP	PFAM:PF00350.29, PFAM:PF02421.24, PFAM:PF03193.22, PFAM:PF04548.22, PFAM:PF10662.15
contig_1	71344	71733	+	CNGMIB_00069	14.4	4.9	PF07650.23|KH_2	PFAM:PF07650.23
contig_1	71800	72408	+	CNGMIB_00070	22.3	5.3		SO:0001217, UniRef:UniRef50_A0A1H9Q6B8
contig_1	72519	72653	+	CNGMIB_00071	4.7	9.9		
contig_1	77696	78190	+	CNGMIB_00076	18.5	8.5	PF11967.14|RecO_N	PFAM:PF11967.14
contig_1	78142	78438	+	CNGMIB_00077	10.5	6.0		
contig_1	81950	82114	-	CNGMIB_00081	6.3	10.7	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13542.12|HTH_Tnp_ISL3	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13542.12
contig_1	88912	89361	+	CNGMIB_00091	15.6	5.5	PF18427.7|DDR_swiveling	PFAM:PF18427.7
contig_1	89312	89647	+	CNGMIB_00092	11.9	5.5	PF18427.7|DDR_swiveling	PFAM:PF18427.7
contig_1	89608	90726	+	CNGMIB_00093	39.8	5.6		
